Pseudonym,Model,Commit,Acc (↑),EOD (↓),F1 (↑)
1cC8Dc8Cec,my_model,53f3e8c8,,,
0E1Ab9df1e,my_model,d27101db,,,
24A21C9cBC,my_model,5268a558,,,
94DCe9cCEC,my_model,62ba5b8f,,,
94DCe9cCEC,my_model,ce4c4bf7,,,
E57F3EC346,my_model,08693461,,,
C8Aed1AFeB,my_model,0aaeebb6,,,
09989bf818,my_model,4b8965e5,,,
cfBefafd52,model,18985635,,,
0FE47bEd17,my_model,05bd32f2,,,
f28eF474aA,my_model,d16a52c5,,,
EB71d4E6c5,mlp_model,e586df6c,,,
9C5aa6FE2D,my_model,be8aef30,,,
1cC8Dc8Cec,my_model,6fb42fbb,,,
4f0F9ED0C1,my_model,b5b56546,,,
fFe01D5274,my_model,03455e64,,,
E20C55232A,my_model,b128e440,,,
fFe01D5274,my_model,12523b37,,,
CF0A04F5B7,my_model,76a8b521,,,
0FB23e98Bf,my_model,f34f0d66,,,
